application_id,company_name,sector,requested_limit_cr,gstr_1_sales_cr,bank_inflows_cr,dscr,current_ratio,debt_to_equity,gst_vs_bank_variance,circular_trading_risk_score,litigation_count,promoter_sentiment,sector_risk_score,due_diligence_score,final_score,decision,actual_default,timestamp
SYN-2024-00029,Premier Group,Automotive Parts,10.35,32.05,31.65,2.14,2.21,0.44,1.27,10.68,0,NEUTRAL,10.43,0.2,100.0,APPROVE,0,2026-03-06T16:56:05.476614
SYN-2029-00535,Universal Solutions,Renewable Energy,32.08,63.44,59.7,0.75,0.93,3.68,5.9,81.08,1,NEGATIVE,49.56,-3.83,0.0,REJECT,0,2025-11-14T16:56:05.552818
SYN-2030-00695,Elite Industries,Retail,12.72,36.55,37.33,1.58,1.78,1.57,2.14,0.16,0,POSITIVE,37.09,2.12,100.0,APPROVE,0,2025-07-24T16:56:05.565687
SYN-2029-00557,Apex Enterprises,Industrial Manufacturing,112.79,162.51,177.62,0.68,0.8,1.43,9.3,46.98,4,NEGATIVE,40.88,-3.51,0.0,REJECT,1,2025-05-23T16:56:05.554951
SYN-2032-00836,Premier Group,Food Processing,125.23,162.27,142.49,1.39,1.32,4.4,12.19,96.92,4,NEGATIVE,75.03,-4.51,0.0,REJECT,0,2025-10-03T16:56:05.579057
SYN-2029-00596,Royal Solutions,Chemicals,72.31,142.91,139.16,2.38,1.37,0.99,2.62,24.23,0,POSITIVE,26.68,0.69,100.0,APPROVE,0,2025-12-21T16:56:05.558850
SYN-2025-00165,Royal Enterprises,Construction,39.25,57.93,61.55,0.86,1.34,3.19,6.25,91.68,3,NEUTRAL,76.76,-2.7,0.0,REJECT,1,2025-12-08T16:56:05.495315
SYN-2033-00918,Classic Solutions,Food Processing,75.36,104.01,89.5,1.08,1.34,2.24,13.96,63.27,1,NEGATIVE,65.6,-0.63,0.0,REJECT,0,2025-10-24T16:56:05.586351
SYN-2028-00495,Prime Technologies,Chemicals,82.16,135.84,137.74,1.32,2.16,2.05,1.4,20.79,1,NEUTRAL,16.75,4.58,88.14,APPROVE,0,2025-09-02T16:56:05.549959
SYN-2032-00824,Supreme Enterprises,Retail,65.14,86.34,88.0,1.5,1.35,1.17,1.92,27.98,0,NEUTRAL,29.78,3.19,94.7,APPROVE,0,2025-12-08T16:56:05.577902
SYN-2024-00065,Crown Manufacturing,Textiles,85.81,165.15,141.66,0.88,0.97,2.73,14.23,61.53,3,NEUTRAL,55.7,-3.12,0.0,REJECT,1,2026-02-03T16:56:05.483171
SYN-2025-00141,Sterling Manufacturing,Automotive Parts,23.26,35.92,34.53,0.99,1.76,2.05,3.89,75.67,2,NEUTRAL,79.51,-2.98,8.14,REJECT,0,2025-09-18T16:56:05.492774
SYN-2033-00925,United Industries,Textiles,9.63,17.97,18.65,1.51,2.85,1.78,3.74,20.07,0,NEGATIVE,34.69,1.99,81.14,APPROVE,0,2025-07-30T16:56:05.587488
SYN-2032-00827,United Systems,Chemicals,77.03,100.5,95.75,1.82,2.19,1.56,4.73,28.37,0,POSITIVE,27.98,0.38,100.0,APPROVE,0,2025-08-12T16:56:05.578256
SYN-2030-00655,National Industries,Construction,60.55,105.77,103.5,1.67,2.36,0.89,2.15,4.21,0,POSITIVE,16.23,1.42,100.0,APPROVE,0,2025-03-15T16:56:05.563011
SYN-2027-00331,Elite Group,Automotive Parts,65.02,107.01,97.22,0.69,1.52,2.19,9.15,41.83,1,NEGATIVE,53.62,-0.45,2.72,REJECT,0,2025-04-05T16:56:05.526822
SYN-2030-00664,Apex Corporation,IT Services,51.43,86.53,91.27,1.02,1.53,2.68,5.47,47.26,1,NEGATIVE,61.09,-4.55,2.22,REJECT,0,2025-06-05T16:56:05.563576
SYN-2026-00249,Sterling Systems,Renewable Energy,7.07,11.49,11.71,1.43,1.99,1.69,1.89,21.23,0,POSITIVE,14.42,2.24,100.0,APPROVE,0,2025-05-18T16:56:05.505329
SYN-2033-00907,Crown Corporation,Food Processing,84.37,152.91,148.83,0.91,1.92,0.48,2.67,4.44,0,NEUTRAL,30.44,4.47,96.55,APPROVE,0,2025-06-21T16:56:05.585266
SYN-2031-00708,Apex Enterprises,Pharmaceuticals,12.38,16.08,16.84,0.74,0.99,2.06,4.71,61.47,1,NEUTRAL,73.57,-0.54,14.51,REJECT,1,2026-02-17T16:56:05.566573
SYN-2027-00305,Prime Enterprises,Food Processing,96.06,135.77,134.99,1.15,1.44,1.5,0.58,6.56,0,POSITIVE,17.94,3.89,100.0,APPROVE,0,2025-08-20T16:56:05.517294
